image_path,gender,article,color
./fashion-product-images/images/23737.jpg,Women,Sunglasses,Black
./fashion-product-images/images/25077.jpg,Men,Accessory Gift Set,Navy Blue
./fashion-product-images/images/34345.jpg,Men,Tshirts,Purple
./fashion-product-images/images/15266.jpg,Women,Casual Shoes,Gold
./fashion-product-images/images/15972.jpg,Men,Shirts,Blue
./fashion-product-images/images/33111.jpg,Women,Casual Shoes,Yellow
./fashion-product-images/images/56524.jpg,Women,Lipstick,Purple
./fashion-product-images/images/9112.jpg,Men,Sports Shoes,White
./fashion-product-images/images/58961.jpg,Men,Perfume and Body Mist,White
./fashion-product-images/images/53617.jpg,Unisex,Free Gifts,Black
./fashion-product-images/images/35981.jpg,Women,Tshirts,White
./fashion-product-images/images/35048.jpg,Women,Kurtas,Green
./fashion-product-images/images/14832.jpg,Men,Belts,Black
./fashion-product-images/images/4057.jpg,Men,Tshirts,White
./fashion-product-images/images/26202.jpg,Men,Perfume and Body Mist,Silver
./fashion-product-images/images/12961.jpg,Men,Sandals,Brown
./fashion-product-images/images/1966.jpg,Men,Tshirts,Black
./fashion-product-images/images/45211.jpg,Women,Watches,White
./fashion-product-images/images/24051.jpg,Men,Tshirts,White
./fashion-product-images/images/11613.jpg,Women,Kurtas,Blue
./fashion-product-images/images/56056.jpg,Women,Lip Gloss,Brown
./fashion-product-images/images/24913.jpg,Boys,Tshirts,Red
./fashion-product-images/images/46936.jpg,Men,Perfume and Body Mist,White
./fashion-product-images/images/49999.jpg,Women,Bra,White
./fashion-product-images/images/12855.jpg,Men,Formal Shoes,Black
./fashion-product-images/images/2577.jpg,Women,Tops,White
./fashion-product-images/images/36695.jpg,Men,Perfume and Body Mist,Brown
./fashion-product-images/images/24288.jpg,Men,Sweatshirts,Grey
./fashion-product-images/images/38603.jpg,Men,Tshirts,Blue
./fashion-product-images/images/20114.jpg,Women,Kurtas,Grey
./fashion-product-images/images/38753.jpg,Women,Handbags,Black
./fashion-product-images/images/33300.jpg,Men,Trousers,White
./fashion-product-images/images/51590.jpg,Women,Jeggings,Navy Blue
./fashion-product-images/images/47526.jpg,Men,Briefs,Grey
./fashion-product-images/images/27435.jpg,Women,Bra,Grey Melange
./fashion-product-images/images/13042.jpg,Women,Flats,Brown
./fashion-product-images/images/18194.jpg,Women,Tshirts,Green
./fashion-product-images/images/25948.jpg,Women,Scarves,Green
./fashion-product-images/images/5050.jpg,Men,Casual Shoes,Black
./fashion-product-images/images/52759.jpg,Women,Handbags,Brown
./fashion-product-images/images/6376.jpg,Men,Casual Shoes,Black
./fashion-product-images/images/15118.jpg,Men,Trousers,Black
./fashion-product-images/images/34030.jpg,Boys,Shirts,Blue
./fashion-product-images/images/28927.jpg,Men,Tshirts,Purple
./fashion-product-images/images/15172.jpg,Men,Tshirts,Brown
./fashion-product-images/images/42605.jpg,Women,Pendant,Gold
./fashion-product-images/images/42326.jpg,Women,Sarees,Red
./fashion-product-images/images/18616.jpg,Men,Tshirts,Red
./fashion-product-images/images/49705.jpg,Men,Ties,Maroon
./fashion-product-images/images/5254.jpg,Unisex,Duffel Bag,Red
./fashion-product-images/images/11436.jpg,Women,Tshirts,Peach
./fashion-product-images/images/30983.jpg,Men,Perfume and Body Mist,Black
./fashion-product-images/images/42290.jpg,Girls,Skirts,Pink
./fashion-product-images/images/11319.jpg,Women,Capris,Blue
./fashion-product-images/images/5256.jpg,Unisex,Rucksacks,Red
